Individual,Morph,Start  date,Event ,Cell,Date,Day,Sex,Clutch,Cohort,Combi_cohort,
DA 3,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores in fin,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,associations at second,Iridophore,01/08/2022,25,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,second aggregates ,Iridophore,06/08/2022,30,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,associations at edge,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,edge aggregates,Iridophore,25/11/2022,141,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,second aggregation resolves,Iridophore,07/11/2022,123,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,second aggregates ,Iridophore,28/09/2022,83,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,associations at edge,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,second aggregation resolves,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores 4-5,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,associations at second,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,second aggregates ,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,16/09/2022,71,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,associations at edge,Iridophore,28/09/2022,83,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,edge aggregates,Iridophore,17/10/2022,102,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,first spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,second spot ring clear,None,31/08/2022,55,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,edge spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores in fin,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores 4-5,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,associations at second,Iridophore,01/08/2022,25,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,second aggregates ,Iridophore,01/08/2022,25,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,associations at edge,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,first aggregates,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,01/08/2022,25,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,01/08/2022,25,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,associations at second,Iridophore,11/08/2022,35,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,second aggregates ,Iridophore,21/08/2022,45,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,associations at edge,Iridophore,11/08/2022,35,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,edge aggregates,Iridophore,16/08/2022,40,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,second aggregation resolves,Iridophore,16/09/2022,71,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,first spot ring clear,None,02/12/2022,148,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,second spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,edge spot ring clear,None,25/11/2022,141,M,Madingley,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores in fin,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,associations 3-5,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,11/08/2022,35,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,11/08/2022,35,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,associations at second,Iridophore,21/08/2022,45,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,second aggregates ,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,associations at edge,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,first aggregation resolves,Iridophore,02/12/2022,148,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,06/08/2022,30,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,second aggregates ,Iridophore,02/10/2022,87,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,associations at edge,Iridophore,06/08/2022,30,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,edge aggregates,Iridophore,16/09/2022,71,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,second aggregation resolves,Iridophore,25/11/2022,141,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,-44749,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,first spot ring clear,None,02/12/2022,148,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,second spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,edge spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,01/08/2022,25,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,second aggregates ,Iridophore,16/09/2022,71,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,28/09/2022,83,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,associations at edge,Iridophore,02/10/2022,87,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,edge aggregates,Iridophore,07/10/2022,92,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,first aggregation resolves,Iridophore,07/10/2022,92,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,first spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,second spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 10,Benthic,07/07/2022,edge spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
A1,Littoral,19/03/2021,xanthophores in fin,Xanthophore,19/03/2021,0,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,iridophores in fin,Iridophore,19/03/2021,0,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,iridophores 4-5,Iridophore,19/03/2021,0,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,first aggregates,Iridophore,19/03/2021,0,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,associations 3-5,Iridophore,19/03/2021,0,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,iridophores at second aggregation,Iridophore,19/03/2021,0,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,associations at second,Iridophore,24/03/2021,5,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,second aggregates ,Iridophore,29/03/2021,10,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,iridophores at 3rd aggregation ,Iridophore,23/04/2021,35,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,xanth/erythrophores accumulate at third,Xanthophore,29/03/2021,10,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,associations at third,Iridophore,23/04/2021,35,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,3rd aggregates,Iridophore,, ,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,first aggregation resolves,Iridophore,, ,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,second aggregation resolves,Iridophore,03/05/2021,45,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,third aggregation resolves,Iridophore,, ,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,compact 1st spot with defined ring,Xanthophore,TBD,45,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,compact second spot with defined ring,Xanthophore,TBD,45,F,,a socialised_shallow,socialised,
A1,Littoral,19/03/2021,compact third spot with defined ring,Xanthophore,TBD, ,F,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,xanthophores in fin,Xanthophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,iridophores in fin,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,iridophores 4-5,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,associations 3-5,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,first aggregates,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,iridophores at second aggregation,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,associations at second,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,second aggregates ,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,iridophores at 3rd aggregation ,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,xanth/erythrophores accumulate at third,Xanthophore,, ,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,associations at third,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,3rd aggregates,Iridophore,19/03/2021,0,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,first aggregation resolves,Iridophore,08/04/2021,20,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,second aggregation resolves,Iridophore,18/04/2021,30,M,,a socialised_shallow,socialised,
A3,Littoral,19/03/2021,third aggregation resolves,Iridophore,13/04/2021,25,M,,a socialised_shallow,socialised,
