dpf,Date,Embryo,Melanophore_numbers ,Morph
21,2022-03-12,5,285,Benthic
21,2022-03-12,6,382,Benthic
21,2022-03-12,7,563,Benthic
21,2022-03-12,8,490,Benthic
21,2021-10-20,1,393,Benthic
21,2021-10-20,2,392,Benthic
21,2021-10-20,3,560,Benthic
21,2021-10-20,4,403,Benthic
21,2021-10-20,5,443,Benthic
21,2021-10-20,6,395,Benthic
21,2021-10-20,7,522,Benthic
21,2021-10-20,8,521,Benthic
26,2021-10-25,1,213,Benthic
26,2021-10-25,2,218,Benthic
26,2021-10-25,3,293,Benthic
26,2021-10-25,4,315,Benthic
26,2021-10-25,5,123,Benthic
26,2021-10-25,6,283,Benthic
29,2021-10-28,1,118,Benthic
29,2021-10-28,2,84,Benthic
29,2021-10-28,3,97,Benthic
29,2021-10-28,4,91,Benthic
29,2021-10-28,5,62,Benthic
29,2021-10-28,6,123,Benthic
33,2021-11-01,1,44,Benthic
33,2021-11-01,2,25,Benthic
33,2021-11-01,3,35,Benthic
33,2021-11-01,4,40,Benthic
33,2021-11-01,5,44,Benthic
33,2021-11-01,6,94,Benthic
