Day,Date,Sample ID,SL,Sex,Count,Area,% Area,SL_Norm,Cohort,,43.163
113,28/10/2022,2,27.675,M,68,0.005,0.035,0.641174154,DA,,
113,28/10/2022,3,30.387,F,58,0.027,0.073,0.704005746,DA,,
113,28/10/2022,4,28.503,F,81,0.019,0.054,0.66035725,DA,,
113,28/10/2022,5,38.157,M,71,0.025,0.04,0.884021037,DA,,
113,28/10/2022,6,30.235,F,103,0.059,0.144,0.700484211,DA,,
113,28/10/2022,7,36.425,M,78,0.028,0.049,0.843894076,DA,,
113,28/10/2022,8,26.797,F,150,0.058,0.214,0.620832658,DA,,
113,28/10/2022,9,36.529,M,87,0.022,0.038,0.846303547,DA,,
113,28/10/2022,10,35.327,M,72,0.019,0.04,0.818455622,DA,,
134,18/11/2022,2,31.659,M,21,0.003,0.009,0.73347543,DA,,
134,18/11/2022,3,32.13,F,64,0.009,0.035,0.744387554,DA,,
134,18/11/2022,4,34.017,F,18,0.002,0.005,0.788105553,DA,,
134,18/11/2022,5,40.736,M,75,0.005,0.011,0.943771286,DA,,
134,18/11/2022,6,32.238,F,98,0.028,0.053,0.746889697,DA,,
134,18/11/2022,7,38.431,M,35,0.007,0.009,0.890369066,DA,,
134,18/11/2022,8,27.539,F,165,0.025,0.096,0.638023307,DA,,
134,18/11/2022,9,39.197,M,38,0.001,0.003,0.908115747,DA,,
134,18/11/2022,10,37.143,M,62,0.009,0.021,0.860528694,DA,,
141,25/11/2022,2,32.855,M,29,0.004,0.009,0.761184348,DA,,
141,25/11/2022,3,33.475,F,126,0.014,0.054,0.775548502,DA,,
141,25/11/2022,4,23.661,F,38,0.005,0.015,0.548177837,DA,,
141,25/11/2022,5,43.163,M,121,0.005,0.01,1,DA,,
141,25/11/2022,6,33.911,F,183,0.054,0.159,0.785649746,DA,,
141,25/11/2022,7,39.714,M,9,5.44E-04,0.003,0.920093599,DA,,
141,25/11/2022,8,30.2,F,185,0.032,0.128,0.699673331,DA,,
141,25/11/2022,9,39.309,M,5,0.001,0.007,0.910710562,DA,,
