Day,Date,id,SL,Sex,Count,Area,percentage_Area,SL_Norm,Cohort,Log_Area,Log_SL,Sq_rt_Area
71,16/09/2022,10,28.318,M,252,0.03,0.111,0.656071172,DA,-1.522878745,1.452062577,0.173205081
83,28/09/2022,2,22.465,M,140,0.008,0.043,0.52046892,DA,-2.096910013,1.351506423,0.089442719
83,28/09/2022,4,24.769,F,206,0.033,0.176,0.573847972,DA,-1.48148606,1.393908473,0.181659021
83,28/09/2022,5,32.256,M,213,0.01,0.028,0.747306721,DA,-2,1.50861051,0.1
83,28/09/2022,6,25.915,F,180,0.049,0.206,0.600398489,DA,-1.30980392,1.413551213,0.221359436
83,28/09/2022,7,31.133,M,136,0.011,0.032,0.721289067,DA,-1.958607315,1.493220972,0.104880885
83,28/09/2022,8,24.386,F,263,0.033,0.168,0.564974631,DA,-1.48148606,1.387140569,0.181659021
83,28/09/2022,9,31.373,M,155,0.007,0.018,0.726849385,DA,-2.15490196,1.496556049,0.083666003
83,28/09/2022,10,30.635,M,141,0.012,0.033,0.709751407,DA,-1.920818754,1.486217885,0.109544512
92,07/10/2022,2,25.41,M,158,0.014,0.062,0.588698654,DA,-1.853871964,1.405004665,0.118321596
92,07/10/2022,3,27.902,F,245,0.052,0.306,0.646433288,DA,-1.283996656,1.445635334,0.228035085
92,07/10/2022,4,26.335,F,146,0.058,0.266,0.610129046,DA,-1.236572006,1.420533323,0.240831892
92,07/10/2022,5,34.256,M,199,0.017,0.038,0.793642703,DA,-1.769551079,1.53473665,0.130384048
92,07/10/2022,6,27.749,F,145,0.071,0.221,0.642888585,DA,-1.148741651,1.443247337,0.266458252
92,07/10/2022,7,32.115,M,137,0.018,0.038,0.744040034,DA,-1.744727495,1.506707926,0.134164079
92,07/10/2022,8,24.498,F,128,0.075,0.323,0.567569446,DA,-1.124938737,1.38913063,0.273861279
92,07/10/2022,9,33.362,M,175,0.014,0.028,0.772930519,DA,-1.853871964,1.523252078,0.118321596
92,07/10/2022,10,32.205,M,84,0.024,0.058,0.746125153,DA,-1.619788758,1.507923303,0.154919334
102,17/10/2022,2,27.093,M,103,0.006,0.021,0.627690383,DA,-2.22184875,1.432857097,0.077459667
102,17/10/2022,3,29.723,F,195,0.026,0.098,0.6886222,DA,-1.585026652,1.473092641,0.161245155
102,17/10/2022,4,27.098,F,151,0.025,0.099,0.627806223,DA,-1.602059991,1.432937238,0.158113883
102,17/10/2022,5,37.793,M,184,0.009,0.019,0.875587888,DA,-2.045757491,1.577411367,0.09486833
102,17/10/2022,7,34.867,M,133,0.011,0.024,0.807798346,DA,-1.958607315,1.542414582,0.104880885
102,17/10/2022,8,25.661,F,379,0.05,0.192,0.59451382,DA,-1.301029996,1.409273577,0.223606798
102,17/10/2022,9,35.671,M,140,0.007,0.012,0.826425411,DA,-2.15490196,1.552315285,0.083666003
102,17/10/2022,10,34.721,M,105,0.008,0.016,0.804415819,DA,-2.096910013,1.540592225,0.089442719
113,28/10/2022,2,27.675,M,68,0.005,0.035,0.641174154,DA,-2.301029996,1.44208763,0.070710678
113,28/10/2022,3,30.387,F,58,0.027,0.073,0.704005746,DA,-1.568636236,1.482687826,0.164316767
113,28/10/2022,4,28.503,F,81,0.019,0.054,0.66035725,DA,-1.721246399,1.454890573,0.137840488
113,28/10/2022,5,38.157,M,71,0.025,0.04,0.884021037,DA,-1.602059991,1.581574222,0.158113883
113,28/10/2022,6,30.235,F,103,0.059,0.144,0.700484211,DA,-1.229147988,1.480509973,0.242899156
113,28/10/2022,7,36.425,M,78,0.028,0.049,0.843894076,DA,-1.552841969,1.56139956,0.167332005
113,28/10/2022,8,26.797,F,150,0.058,0.214,0.620832658,DA,-1.236572006,1.428086176,0.240831892
113,28/10/2022,9,36.529,M,87,0.022,0.038,0.846303547,DA,-1.657577319,1.562637783,0.14832397
113,28/10/2022,10,35.327,M,72,0.019,0.04,0.818455622,DA,-1.721246399,1.548106758,0.137840488
134,18/11/2022,2,31.659,M,21,0.003,0.009,0.73347543,DA,-2.522878745,1.500497193,0.054772256
134,18/11/2022,3,32.13,F,64,0.009,0.035,0.744387554,DA,-2.045757491,1.506910726,0.09486833
134,18/11/2022,4,34.017,F,18,0.002,0.005,0.788105553,DA,-2.698970004,1.53169601,0.04472136
134,18/11/2022,5,40.736,M,75,0.005,0.011,0.943771286,DA,-2.301029996,1.609978382,0.070710678
134,18/11/2022,6,32.238,F,98,0.028,0.053,0.746889697,DA,-1.552841969,1.508368091,0.167332005
134,18/11/2022,7,38.431,M,35,0.007,0.009,0.890369066,DA,-2.15490196,1.584681685,0.083666003
134,18/11/2022,8,27.539,F,165,0.025,0.096,0.638023307,DA,-1.602059991,1.439948166,0.158113883
134,18/11/2022,9,39.197,M,38,0.001,0.003,0.908115747,DA,-3,1.593252829,0.031622777
134,18/11/2022,10,37.143,M,62,0.009,0.021,0.860528694,DA,-2.045757491,1.569876978,0.09486833
141,25/11/2022,2,32.855,M,29,0.004,0.009,0.761184348,DA,-2.397940009,1.516601472,0.063245553
141,25/11/2022,3,33.475,F,126,0.014,0.054,0.775548502,DA,-1.853871964,1.524720586,0.118321596
141,25/11/2022,4,23.661,F,38,0.005,0.015,0.548177837,DA,-2.301029996,1.374033096,0.070710678
141,25/11/2022,5,43.163,M,121,0.005,0.01,1,DA,-2.301029996,1.635111622,0.070710678
141,25/11/2022,6,33.911,F,183,0.054,0.159,0.785649746,DA,-1.26760624,1.530340597,0.232379001
141,25/11/2022,7,39.714,M,9,5.44E-04,0.003,0.920093599,DA,-3.2644011,1.598943631,0.023323808
141,25/11/2022,8,30.2,F,185,0.032,0.128,0.699673331,DA,-1.494850022,1.480006943,0.178885438
141,25/11/2022,9,39.309,M,5,0.001,0.007,0.910710562,DA,-3,1.594491996,0.031622777
