Sex,ID,Date,Area,Day,Cohort,SL
F,3,06/08/2022,0.017,30,DA,18.895
F,4,06/08/2022,0.037,30,DA,18.939
M,5,06/08/2022,0.048,30,DA,20.995
F,6,06/08/2022,0.028,30,DA,19.845
M,7,06/08/2022,0.05,30,DA,21.918
F,8,06/08/2022,0.018,30,DA,18.831
M,10,06/08/2022,0.049,30,DA,20.31
F,1,26/08/2022,0.015,50,DA,23.498
M,2,26/08/2022,0.011,50,DA,19.701
F,3,26/08/2022,0.012,50,DA,22.646
F,4,26/08/2022,0.012,50,DA,21.15
M,5,26/08/2022,0.01,50,DA,25.134
F,6,26/08/2022,0.029,50,DA,22.991
M,7,26/08/2022,0.022,50,DA,25.145
F,8,26/08/2022,0.015,50,DA,21.792
M,9,26/08/2022,0.008,50,DA,25.078
M,10,26/08/2022,0.018,50,DA,23.823
F,1,06/09/2022,0.024,61,DA,24.831
M,2,06/09/2022,0.007,61,DA,20.907
F,3,06/09/2022,0.017,61,DA,24.169
F,4,06/09/2022,0.02,61,DA,22.807
M,5,06/09/2022,0.014,61,DA,26.833
F,6,06/09/2022,0.034,61,DA,24.155
M,7,06/09/2022,0.029,61,DA,26.97
F,8,06/09/2022,0.021,61,DA,22.542
M,9,06/09/2022,0.018,61,DA,26.618
M,10,06/09/2022,0.025,61,DA,26.564
F,1,16/09/2022,0.044,71,DA,26.063
M,2,16/09/2022,0.024,71,DA,22.299
F,3,16/09/2022,0.058,71,DA,25.963
F,4,16/09/2022,0.12,71,DA,23.602
M,5,16/09/2022,0.037,71,DA,28.812
F,6,16/09/2022,0.085,71,DA,25.232
M,7,16/09/2022,0.04,71,DA,28.647
F,8,16/09/2022,0.159,71,DA,23.243
M,9,16/09/2022,0.041,71,DA,28.642
M,10,16/09/2022,0.03,71,DA,28.318
M,2,28/09/2022,0.008,83,DA,22.465
F,4,28/09/2022,0.033,83,DA,24.769
M,5,28/09/2022,0.01,83,DA,32.256
F,6,28/09/2022,0.049,83,DA,25.915
M,7,28/09/2022,0.011,83,DA,31.133
F,8,28/09/2022,0.033,83,DA,24.386
M,9,28/09/2022,0.007,83,DA,31.373
M,10,28/09/2022,0.012,83,DA,30.635
M,2,07/10/2022,0.014,92,DA,25.41
F,3,07/10/2022,0.052,92,DA,27.902
F,4,07/10/2022,0.058,92,DA,26.335
M,5,07/10/2022,0.017,92,DA,34.256
F,6,07/10/2022,0.071,92,DA,27.749
M,7,07/10/2022,0.018,92,DA,32.115
F,8,07/10/2022,0.075,92,DA,24.498
M,9,07/10/2022,0.014,92,DA,33.362
M,10,07/10/2022,0.024,92,DA,32.205
M,2,17/10/2022,0.006,102,DA,27.093
F,3,17/10/2022,0.026,102,DA,29.723
F,4,17/10/2022,0.025,102,DA,27.098
M,5,17/10/2022,0.009,102,DA,37.793
M,7,17/10/2022,0.011,102,DA,34.867
F,8,17/10/2022,0.05,102,DA,25.661
M,9,17/10/2022,0.007,102,DA,35.671
M,10,17/10/2022,0.008,102,DA,34.721
M,2,28/10/2022,0.005,113,DA,27.675
F,3,28/10/2022,0.027,113,DA,30.387
F,4,28/10/2022,0.019,113,DA,28.503
M,5,28/10/2022,0.025,113,DA,38.157
F,6,28/10/2022,0.059,113,DA,30.235
M,7,28/10/2022,0.028,113,DA,36.425
F,8,28/10/2022,0.058,113,DA,26.797
M,9,28/10/2022,0.022,113,DA,36.529
M,10,28/10/2022,0.019,113,DA,35.327
M,2,18/11/2022,0.003,134,DA,31.659
F,3,18/11/2022,0.009,134,DA,32.13
F,4,18/11/2022,0.002,134,DA,34.017
M,5,18/11/2022,0.005,134,DA,40.736
F,6,18/11/2022,0.028,134,DA,32.238
M,7,18/11/2022,0.007,134,DA,38.431
F,8,18/11/2022,0.025,134,DA,27.539
M,9,18/11/2022,0.001,134,DA,39.197
M,10,18/11/2022,0.009,134,DA,37.143
M,2,25/11/2022,0.004,141,DA,32.855
F,3,25/11/2022,0.014,141,DA,33.475
F,4,25/11/2022,0.005,141,DA,23.661
M,5,25/11/2022,0.005,141,DA,43.163
F,6,25/11/2022,0.054,141,DA,33.911
M,7,25/11/2022,5.44E-04,141,DA,39.714
F,8,25/11/2022,0.032,141,DA,30.2
M,9,25/11/2022,0.001,141,DA,39.309
F,1,02/12/2022,,148,DA,
M,2,02/12/2022,,148,DA,
F,3,02/12/2022,,148,DA,
F,4,02/12/2022,,148,DA,
M,5,02/12/2022,,148,DA,
F,6,02/12/2022,,148,DA,
M,7,02/12/2022,,148,DA,
F,8,02/12/2022,,148,DA,
M,9,02/12/2022,,148,DA,
M,10,02/12/2022,,148,DA,
